Cell,DoD
G44C4,0.37395794241748986
G45C1,0.8001040463260922
G45C2,0.8110318718271279
G45C3,0.8004840473261173
G45C4,0.7986930746227221
G46C1,0.7343209919473666
G46C2,0.7644929003670439
G46C3,0.752887849
G46C4,0.7628524140227371
G47C1,0.47708391230527514
G47C2,0.47832607568432073
G47C3,0.48495088536078157
G47C4,0.4906390547251361
G48C1,0.5845145070928216
G48C2,0.5715851675310871
G48C3,0.6107923012849098
G48C4,0.5760927382267221
G49C1,0.20012995722998234
G49C2,0.20226722341984443
G49C3,0.14114634535873483
G49C4,0.20922759738854566
G50C1,0.21104871552624407
G50C2,0.2111991875198325
G50C3,0.17935331551620887
G50C4,0.20227887875138323
G51C1,0.5583377847510036
G51C2,0.4929418854996856
G51C3,0.560898426
G51C4,0.5335143042470579
