Group,Cell,Lifetime,var_deltaQ,min_deltaQ,skew_deltaQ,kurt_deltaQ,Q_ini
G48,G48C3,12.004,0.00014232043523147375,-0.02799999685986479,0.7039847681386643,-1.0981965199731263,0.283817173333333
G48,G48C4,8.196,0.0002468934740624023,-0.037096339462473815,0.4228003465824363,-1.366924488798057,0.279141368888889
G51,G51C1,11.288,0.0001568732193584455,-0.03229572861256799,0.5939122217189502,-1.2385318727377443,0.283621671111111
G51,G51C2,13.211,0.00010588710737683321,-0.024821846966325334,0.5882051123286327,-1.2164630993982812,0.28295344
G51,G51C3,10.717,0.0001221140504802617,-0.02570584076153859,0.7127240317819741,-1.0933616274200237,0.284716462222222
G51,G51C4,11.985,0.00010180156917522458,-0.023058165739122588,0.7748490528572027,-1.0159372126859538,0.282242204444444
G60,G60C1,12.952,9.461738192071395e-05,-0.019583726606272,0.7547274847870266,-0.9913689551601177,0.283652942222222
G60,G60C2,11.331,8.859574933341844e-05,-0.02206856186375858,0.7377237811064267,-1.1556613415771995,0.282105564444444
G60,G60C3,8.524,0.000123259996133,-0.02269242329033877,0.5908997616397836,-1.1831101406789046,0.280392604444444
G60,G60C4,9.861,9.548474921923533e-05,-0.020914660241858618,0.724501714237112,-1.0914800706948582,0.28407232
G62,G62C1,15.05,0.00018448793135333725,-0.03178863164901358,0.5105910027017162,-1.3003386849825862,0.2795321111111111
G62,G62C2,11.719,0.000176480976825204,-0.02865262609343261,0.567718283871677,-1.2069595445795378,0.2841039444444444
G62,G62C3,11.633,0.0001891369341467145,-0.031241487321950312,0.5111091780445357,-1.293054278078888,0.2798888055555555
G62,G62C4,7.766,0.0001191829049574944,-0.026527631453578976,0.8024821827928906,-1.0325726802754545,0.2845289444444444
